Year,Units,Institucija,Kategorija,Value
2013,da/ne,Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,-1
2014,da/ne,Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,-1
2015,da/ne,Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,-1
2016,da/ne,Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,-1
2017,da/ne,Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,-1
2018,da/ne,Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,-1
2019,da/ne,Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,-1
2020,da/ne,Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,1
2021,da/ne,Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,1
2022,da/ne,Ekonomski i socijalni savjet UN,Da li ima pravo glasa?,1
2012,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2013,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2014,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2015,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2016,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2017,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2018,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2019,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2020,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2021,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
2022,da/ne,Svjetska trgovinska organizacija,Da li ima pravo glasa?,1
