Year,Units,Konvencija,Kategorija,Value
2021,bodovi,Roterdamska konvencija,Označavanje nadležnih nacionalnih organa i zvanične kontakt tačke,1.0
2022,bodovi,Roterdamska konvencija,Označavanje nadležnih nacionalnih organa i zvanične kontakt tačke,1.0
2023,bodovi,Roterdamska konvencija,Označavanje nadležnih nacionalnih organa i zvanične kontakt tačke,1.0
2015,bodovi,Roterdamska konvencija,Podnošenje import odgovora tokom izvještajnog perioda (0.2 boda po import odgovoru),0.2
2016,bodovi,Roterdamska konvencija,Podnošenje import odgovora tokom izvještajnog perioda (0.2 boda po import odgovoru),0.2
2017,bodovi,Roterdamska konvencija,Podnošenje import odgovora tokom izvještajnog perioda (0.2 boda po import odgovoru),0.2
2018,bodovi,Roterdamska konvencija,Podnošenje import odgovora tokom izvještajnog perioda (0.2 boda po import odgovoru),0.2
2019,bodovi,Roterdamska konvencija,Podnošenje import odgovora tokom izvještajnog perioda (0.2 boda po import odgovoru),0.2
2020,bodovi,Roterdamska konvencija,Podnošenje import odgovora tokom izvještajnog perioda (0.2 boda po import odgovoru),0.2
2021,bodovi,Roterdamska konvencija,Podnošenje import odgovora tokom izvještajnog perioda (0.2 boda po import odgovoru),0.0
2022,bodovi,Roterdamska konvencija,Podnošenje import odgovora tokom izvještajnog perioda (0.2 boda po import odgovoru),1.0
2023,bodovi,Roterdamska konvencija,Podnošenje import odgovora tokom izvještajnog perioda (0.2 boda po import odgovoru),0.2
2015,bodovi,Stokholmska konvencija,Označavanje zvanične kontakt tačke i nacionalne ključne tačke,1.0
2016,bodovi,Stokholmska konvencija,Označavanje zvanične kontakt tačke i nacionalne ključne tačke,1.0
2017,bodovi,Stokholmska konvencija,Označavanje zvanične kontakt tačke i nacionalne ključne tačke,1.0
2018,bodovi,Stokholmska konvencija,Označavanje zvanične kontakt tačke i nacionalne ključne tačke,1.0
2019,bodovi,Stokholmska konvencija,Označavanje zvanične kontakt tačke i nacionalne ključne tačke,1.0
2020,bodovi,Stokholmska konvencija,Označavanje zvanične kontakt tačke i nacionalne ključne tačke,1.0
2021,bodovi,Stokholmska konvencija,Označavanje zvanične kontakt tačke i nacionalne ključne tačke,1.0
2022,bodovi,Stokholmska konvencija,Označavanje zvanične kontakt tačke i nacionalne ključne tačke,1.0
2023,bodovi,Stokholmska konvencija,Označavanje zvanične kontakt tačke i nacionalne ključne tačke,1.0
2015,bodovi,Stokholmska konvencija,Podnošenje nacionalnog plana implementacije,1.0
2016,bodovi,Stokholmska konvencija,Podnošenje nacionalnog plana implementacije,1.0
2017,bodovi,Stokholmska konvencija,Podnošenje nacionalnog plana implementacije,1.0
2018,bodovi,Stokholmska konvencija,Podnošenje nacionalnog plana implementacije,1.0
2019,bodovi,Stokholmska konvencija,Podnošenje nacionalnog plana implementacije,1.0
2020,bodovi,Stokholmska konvencija,Podnošenje nacionalnog plana implementacije,1.0
2021,bodovi,Stokholmska konvencija,Podnošenje nacionalnog plana implementacije,1.0
2022,bodovi,Stokholmska konvencija,Podnošenje nacionalnog plana implementacije,1.0
2023,bodovi,Stokholmska konvencija,Podnošenje nacionalnog plana implementacije,1.0
2015,bodovi,Stokholmska konvencija,Podnošenje revidiranog nacionalnog plana/planova implementacije koji se odnose na usvojene izmjene i dopune od strane Konferencije stranaka u izvještajnom periodu (1 bod po revidiranom i ažuriranom planu),0.0
2016,bodovi,Stokholmska konvencija,Podnošenje revidiranog nacionalnog plana/planova implementacije koji se odnose na usvojene izmjene i dopune od strane Konferencije stranaka u izvještajnom periodu (1 bod po revidiranom i ažuriranom planu),0.0
2017,bodovi,Stokholmska konvencija,Podnošenje revidiranog nacionalnog plana/planova implementacije koji se odnose na usvojene izmjene i dopune od strane Konferencije stranaka u izvještajnom periodu (1 bod po revidiranom i ažuriranom planu),0.0
2018,bodovi,Stokholmska konvencija,Podnošenje revidiranog nacionalnog plana/planova implementacije koji se odnose na usvojene izmjene i dopune od strane Konferencije stranaka u izvještajnom periodu (1 bod po revidiranom i ažuriranom planu),0.0
2019,bodovi,Stokholmska konvencija,Podnošenje revidiranog nacionalnog plana/planova implementacije koji se odnose na usvojene izmjene i dopune od strane Konferencije stranaka u izvještajnom periodu (1 bod po revidiranom i ažuriranom planu),1.0
2020,bodovi,Stokholmska konvencija,Podnošenje revidiranog nacionalnog plana/planova implementacije koji se odnose na usvojene izmjene i dopune od strane Konferencije stranaka u izvještajnom periodu (1 bod po revidiranom i ažuriranom planu),0.0
2021,bodovi,Stokholmska konvencija,Podnošenje revidiranog nacionalnog plana/planova implementacije koji se odnose na usvojene izmjene i dopune od strane Konferencije stranaka u izvještajnom periodu (1 bod po revidiranom i ažuriranom planu),0.0
2022,bodovi,Stokholmska konvencija,Podnošenje revidiranog nacionalnog plana/planova implementacije koji se odnose na usvojene izmjene i dopune od strane Konferencije stranaka u izvještajnom periodu (1 bod po revidiranom i ažuriranom planu),0.0
2023,bodovi,Stokholmska konvencija,Podnošenje revidiranog nacionalnog plana/planova implementacije koji se odnose na usvojene izmjene i dopune od strane Konferencije stranaka u izvještajnom periodu (1 bod po revidiranom i ažuriranom planu),0.0
2015,bodovi,Montrealski protokol,Usklađenost sa zahtjevima za izvještavanje za proizvodnju i potrošnju ozonskog oštećenja suspstance prema članu 7 Montrealskog protokola,15.0
2016,bodovi,Montrealski protokol,Usklađenost sa zahtjevima za izvještavanje za proizvodnju i potrošnju ozonskog oštećenja suspstance prema članu 7 Montrealskog protokola,15.0
2017,bodovi,Montrealski protokol,Usklađenost sa zahtjevima za izvještavanje za proizvodnju i potrošnju ozonskog oštećenja suspstance prema članu 7 Montrealskog protokola,15.0
2018,bodovi,Montrealski protokol,Usklađenost sa zahtjevima za izvještavanje za proizvodnju i potrošnju ozonskog oštećenja suspstance prema članu 7 Montrealskog protokola,15.0
2019,bodovi,Montrealski protokol,Usklađenost sa zahtjevima za izvještavanje za proizvodnju i potrošnju ozonskog oštećenja suspstance prema članu 7 Montrealskog protokola,15.0
2020,bodovi,Montrealski protokol,Usklađenost sa zahtjevima za izvještavanje za proizvodnju i potrošnju ozonskog oštećenja suspstance prema članu 7 Montrealskog protokola,15.0
2021,bodovi,Montrealski protokol,Usklađenost sa zahtjevima za izvještavanje za proizvodnju i potrošnju ozonskog oštećenja suspstance prema članu 7 Montrealskog protokola,15.0
2022,bodovi,Montrealski protokol,Usklađenost sa zahtjevima za izvještavanje za proizvodnju i potrošnju ozonskog oštećenja suspstance prema članu 7 Montrealskog protokola,15.0
2023,bodovi,Montrealski protokol,Usklađenost sa zahtjevima za izvještavanje za proizvodnju i potrošnju ozonskog oštećenja suspstance prema članu 7 Montrealskog protokola,15.0
2015,bodovi,Montrealski protokol,Podnošenje informacija o licencnim sistemima prema članu 4B Montrealskog protokola,5.0
2016,bodovi,Montrealski protokol,Podnošenje informacija o licencnim sistemima prema članu 4B Montrealskog protokola,5.0
2017,bodovi,Montrealski protokol,Podnošenje informacija o licencnim sistemima prema članu 4B Montrealskog protokola,5.0
2018,bodovi,Montrealski protokol,Podnošenje informacija o licencnim sistemima prema članu 4B Montrealskog protokola,5.0
2019,bodovi,Montrealski protokol,Podnošenje informacija o licencnim sistemima prema članu 4B Montrealskog protokola,5.0
2020,bodovi,Montrealski protokol,Podnošenje informacija o licencnim sistemima prema članu 4B Montrealskog protokola,5.0
2021,bodovi,Montrealski protokol,Podnošenje informacija o licencnim sistemima prema članu 4B Montrealskog protokola,5.0
2022,bodovi,Montrealski protokol,Podnošenje informacija o licencnim sistemima prema članu 4B Montrealskog protokola,5.0
2023,bodovi,Montrealski protokol,Podnošenje informacija o licencnim sistemima prema članu 4B Montrealskog protokola,5.0
2015,bodovi,Minamata konvencija,Označavanje nacionalne ključne tačke (član 17),5.0
2016,bodovi,Minamata konvencija,Označavanje nacionalne ključne tačke (član 17),5.0
2017,bodovi,Minamata konvencija,Označavanje nacionalne ključne tačke (član 17),5.0
2018,bodovi,Minamata konvencija,Označavanje nacionalne ključne tačke (član 17),5.0
2019,bodovi,Minamata konvencija,Označavanje nacionalne ključne tačke (član 17),5.0
2020,bodovi,Minamata konvencija,Označavanje nacionalne ključne tačke (član 17),5.0
2021,bodovi,Minamata konvencija,Označavanje nacionalne ključne tačke (član 17),5.0
2022,bodovi,Minamata konvencija,Označavanje nacionalne ključne tačke (član 17),5.0
2023,bodovi,Minamata konvencija,Označavanje nacionalne ključne tačke (član 17),5.0
2015,bodovi,Minamata konvencija,Podnošenje nacionalnog izvještaja (član 21),0.0
2016,bodovi,Minamata konvencija,Podnošenje nacionalnog izvještaja (član 21),0.0
2017,bodovi,Minamata konvencija,Podnošenje nacionalnog izvještaja (član 21),0.0
2018,bodovi,Minamata konvencija,Podnošenje nacionalnog izvještaja (član 21),0.0
2019,bodovi,Minamata konvencija,Podnošenje nacionalnog izvještaja (član 21),0.0
2020,bodovi,Minamata konvencija,Podnošenje nacionalnog izvještaja (član 21),0.0
2021,bodovi,Minamata konvencija,Podnošenje nacionalnog izvještaja (član 21),15.0
2022,bodovi,Minamata konvencija,Podnošenje nacionalnog izvještaja (član 21),0.0
2023,bodovi,Minamata konvencija,Podnošenje nacionalnog izvještaja (član 21),15.0
