Year,Units,Institution,Category,Value
2018,yes_no,un_general_assembly,mne_vote,1
2019,yes_no,un_general_assembly,mne_vote,1
2020,yes_no,un_general_assembly,mne_vote,1
2021,yes_no,un_general_assembly,mne_vote,1
2022,yes_no,un_general_assembly,mne_vote,1
2010,yes_no,un_security_council,mne_vote,-1
2011,yes_no,un_security_council,mne_vote,-1
2012,yes_no,un_security_council,mne_vote,-1
2013,yes_no,un_security_council,mne_vote,-1
2014,yes_no,un_security_council,mne_vote,-1
2015,yes_no,un_security_council,mne_vote,-1
2016,yes_no,un_security_council,mne_vote,-1
2017,yes_no,un_security_council,mne_vote,-1
2018,yes_no,un_security_council,mne_vote,-1
2019,yes_no,un_security_council,mne_vote,-1
2020,yes_no,un_security_council,mne_vote,-1
2021,yes_no,un_security_council,mne_vote,-1
2022,yes_no,un_security_council,mne_vote,-1
2010,yes_no,un_economic_social_council,mne_vote,-1
2011,yes_no,un_economic_social_council,mne_vote,-1
2012,yes_no,un_economic_social_council,mne_vote,-1
2013,yes_no,un_economic_social_council,mne_vote,-1
2014,yes_no,un_economic_social_council,mne_vote,-1
2015,yes_no,un_economic_social_council,mne_vote,-1
2016,yes_no,un_economic_social_council,mne_vote,-1
2017,yes_no,un_economic_social_council,mne_vote,-1
2018,yes_no,un_economic_social_council,mne_vote,-1
2019,yes_no,un_economic_social_council,mne_vote,-1
2020,yes_no,un_economic_social_council,mne_vote,1
2021,yes_no,un_economic_social_council,mne_vote,1
2022,yes_no,un_economic_social_council,mne_vote,1
2012,yes_no,world_trade_organization,mne_vote,1
2013,yes_no,world_trade_organization,mne_vote,1
2014,yes_no,world_trade_organization,mne_vote,1
2015,yes_no,world_trade_organization,mne_vote,1
2016,yes_no,world_trade_organization,mne_vote,1
2017,yes_no,world_trade_organization,mne_vote,1
2018,yes_no,world_trade_organization,mne_vote,1
2019,yes_no,world_trade_organization,mne_vote,1
2020,yes_no,world_trade_organization,mne_vote,1
2021,yes_no,world_trade_organization,mne_vote,1
2022,yes_no,world_trade_organization,mne_vote,1
