Year,Units,Institucija,Kategorija,Value
2017,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2018,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2019,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2020,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2021,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2022,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2023,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2024,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2025,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2026,da/ne,Afrička razvojna banka,Da li je CG član?,-1
2010,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2011,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2012,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2013,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2014,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2015,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2016,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2017,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2018,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2019,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2020,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2021,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2022,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2023,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2024,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2025,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2026,da/ne,Azijska razvojna banka,Da li je CG član?,-1
2010,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2011,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2012,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2013,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2014,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2015,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2016,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2017,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2018,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2019,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2020,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2021,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2022,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2023,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2024,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2025,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2026,da/ne,Interamerička razvojna banka,Da li je CG član?,-1
2010,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2011,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2012,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2013,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2014,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2015,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2016,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2017,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2018,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2019,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2020,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2021,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2022,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2023,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2024,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2025,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
2026,da/ne,Odbor za finansijsku stabilnost,Da li je CG član?,-1
